#N, #batchCount, #result, #GPUtimeInMs, #CPUtime1InMs, #CPUtime4InMs, #CPUtime8InMs, #CPUtime16InMs, #memMB, #memByte
10, 750000, 0, 345.600000, 2928.007000, 730.273000, 379.289000, 206.149000, 1110.076904, 1164000000
11, 750000, 0, 420.978000, 3419.403000, 828.310000, 424.528000, 227.567000, 1201.629639, 1260000000
12, 750000, 0, 324.318000, 3703.898000, 905.088000, 462.640000, 245.821000, 1293.182373, 1356000000
13, 750000, 0, 509.006000, 4305.075000, 1034.043000, 525.645000, 279.896000, 1384.735107, 1452000000
14, 750000, 0, 414.743000, 4665.028000, 1127.463000, 571.674000, 300.384000, 1476.287842, 1548000000
15, 750000, 0, 487.553000, 5341.412000, 1268.544000, 639.172000, 336.974000, 1567.840576, 1644000000
16, 750000, 0, 393.488000, 5438.121000, 1308.361000, 669.340000, 347.175000, 1659.393311, 1740000000
17, 750000, 0, 578.583000, 6397.213000, 1500.306000, 751.974000, 386.761000, 1750.946045, 1836000000
18, 750000, 0, 595.977000, 6700.267000, 1585.828000, 794.600000, 409.025000, 1842.498779, 1932000000
19, 750000, 0, 611.826000, 8027.591000, 1773.670000, 887.615000, 452.562000, 1934.051514, 2028000000
20, 750000, -1, -1, -1, -1, -1, -1, -1, 2124000000
21, 750000, -1, -1, -1, -1, -1, -1, -1, -2074967296
22, 750000, -1, -1, -1, -1, -1, -1, -1, -1978967296
23, 750000, -1, -1, -1, -1, -1, -1, -1, -1882967296
24, 750000, -1, -1, -1, -1, -1, -1, -1, -1786967296
25, 750000, -1, -1, -1, -1, -1, -1, -1, -1690967296
26, 750000, -1, -1, -1, -1, -1, -1, -1, -1594967296
27, 750000, -1, -1, -1, -1, -1, -1, -1, -1498967296
28, 750000, -1, -1, -1, -1, -1, -1, -1, -1402967296
29, 750000, -1, -1, -1, -1, -1, -1, -1, -1306967296
30, 750000, -1, -1, -1, -1, -1, -1, -1, -1210967296
31, 750000, -1, -1, -1, -1, -1, -1, -1, -1114967296
32, 750000, -1, -1, -1, -1, -1, -1, -1, -1018967296
1, 1000000, 0, 157.570000, 222.754000, 91.831000, 78.641000, 78.815000, 381.469727, 400000000
2, 1000000, 0, 161.725000, 528.466000, 174.408000, 105.395000, 84.370000, 503.540039, 528000000
3, 1000000, 0, 194.980000, 850.795000, 250.427000, 141.481000, 103.911000, 625.610352, 656000000
4, 1000000, 0, 188.096000, 1185.062000, 337.694000, 186.393000, 116.057000, 747.680664, 784000000
5, 1000000, 0, 270.698000, 1558.181000, 422.331000, 231.158000, 132.294000, 869.750977, 912000000
6, 1000000, 0, 339.274000, 1961.124000, 520.192000, 273.536000, 158.152000, 991.821289, 1040000000
7, 1000000, 0, 422.325000, 2394.982000, 614.633000, 326.638000, 175.757000, 1113.891602, 1168000000
8, 1000000, 0, 237.577000, 2862.359000, 721.006000, 372.768000, 201.303000, 1235.961914, 1296000000
9, 1000000, 0, 476.412000, 3386.029000, 833.495000, 431.928000, 228.941000, 1358.032227, 1424000000
10, 1000000, 0, 506.546000, 3908.825000, 964.104000, 496.857000, 265.428000, 1480.102539, 1552000000
11, 1000000, 0, 573.030000, 4570.139000, 1105.548000, 555.422000, 295.298000, 1602.172852, 1680000000
12, 1000000, 0, 350.825000, 4944.628000, 1200.891000, 615.976000, 327.118000, 1724.243164, 1808000000
13, 1000000, 0, 675.233000, 5729.132000, 1374.900000, 697.130000, 360.466000, 1846.313477, 1936000000
14, 1000000, 0, 549.724000, 6229.461000, 1497.460000, 753.198000, 388.573000, 1968.383789, 2064000000
